TXNAME	GENEID.group	GENEID.group_name	GENEID.value
mRNA:Solyc06g036320.1.1	18423	NA	gene:Solyc06g036320.1
mRNA:Solyc06g036330.1.1	18424	NA	gene:Solyc06g036330.1
mRNA:Solyc06g036340.3.1	18425	NA	gene:Solyc06g036340.3
mRNA:Solyc06g036350.3.1	18426	NA	gene:Solyc06g036350.3
mRNA:Solyc06g036420.2.1	18427	NA	gene:Solyc06g036420.2
mRNA:Solyc06g036430.3.1	18428	NA	gene:Solyc06g036430.3
mRNA:Solyc06g036440.2.1	18429	NA	gene:Solyc06g036440.2
mRNA:Solyc06g036450.1.1	18430	NA	gene:Solyc06g036450.1
mRNA:Solyc06g036460.3.1	18431	NA	gene:Solyc06g036460.3
mRNA:Solyc06g036463.1.1	18432	NA	gene:Solyc06g036463.1
mRNA:Solyc06g036467.1.1	18433	NA	gene:Solyc06g036467.1
mRNA:Solyc06g036470.2.1	18434	NA	gene:Solyc06g036470.2
mRNA:Solyc06g036480.2.1	18435	NA	gene:Solyc06g036480.2
mRNA:Solyc06g036485.1.1	18436	NA	gene:Solyc06g036485.1
mRNA:Solyc06g036490.2.1	18437	NA	gene:Solyc06g036490.2
mRNA:Solyc06g036500.1.1	18438	NA	gene:Solyc06g036500.1
mRNA:Solyc06g036520.1.1	18439	NA	gene:Solyc06g036520.1
mRNA:Solyc06g036540.1.1	18440	NA	gene:Solyc06g036540.1
mRNA:Solyc06g036550.1.1	18441	NA	gene:Solyc06g036550.1
mRNA:Solyc06g036570.1.1	18442	NA	gene:Solyc06g036570.1
mRNA:Solyc06g036580.3.1	18443	NA	gene:Solyc06g036580.3
mRNA:Solyc06g036590.1.1	18444	NA	gene:Solyc06g036590.1
mRNA:Solyc06g036600.2.1	18445	NA	gene:Solyc06g036600.2
mRNA:Solyc06g036620.1.1	18446	NA	gene:Solyc06g036620.1
mRNA:Solyc06g036605.1.1	18447	NA	gene:Solyc06g036605.1
mRNA:Solyc06g036630.2.1	18448	NA	gene:Solyc06g036630.2
mRNA:Solyc06g036640.3.1	18449	NA	gene:Solyc06g036640.3
mRNA:Solyc06g036660.1.1	18450	NA	gene:Solyc06g036660.1
mRNA:Solyc06g036670.2.1	18451	NA	gene:Solyc06g036670.2
mRNA:Solyc06g036680.1.1	18452	NA	gene:Solyc06g036680.1
mRNA:Solyc06g036700.2.1	18453	NA	gene:Solyc06g036700.2
mRNA:Solyc06g036690.1.1	18454	NA	gene:Solyc06g036690.1
mRNA:Solyc06g036720.3.1	18455	NA	gene:Solyc06g036720.3
mRNA:Solyc06g036770.1.1	18456	NA	gene:Solyc06g036770.1
mRNA:Solyc06g036780.3.1	18457	NA	gene:Solyc06g036780.3
mRNA:Solyc06g036800.1.1	18458	NA	gene:Solyc06g036800.1
mRNA:Solyc06g036820.1.1	18459	NA	gene:Solyc06g036820.1
mRNA:Solyc06g036890.1.1	18460	NA	gene:Solyc06g036890.1
mRNA:Solyc06g036803.1.1	18461	NA	gene:Solyc06g036803.1
mRNA:Solyc06g043350.1.1	18462	NA	gene:Solyc06g043350.1
mRNA:Solyc06g043352.1.1	18463	NA	gene:Solyc06g043352.1
mRNA:Solyc06g043354.1.1	18464	NA	gene:Solyc06g043354.1
mRNA:Solyc06g043356.1.1	18465	NA	gene:Solyc06g043356.1
mRNA:Solyc06g043358.1.1	18466	NA	gene:Solyc06g043358.1
mRNA:Solyc06g043270.1.1	18467	NA	gene:Solyc06g043270.1
mRNA:Solyc06g043275.1.1	18468	NA	gene:Solyc06g043275.1
mRNA:Solyc06g043260.2.1	18469	NA	gene:Solyc06g043260.2
mRNA:Solyc06g043250.3.1	18470	NA	gene:Solyc06g043250.3
mRNA:Solyc07g043470.2.1	18471	NA	gene:Solyc07g043470.2
mRNA:Solyc07g043473.1.1	18472	NA	gene:Solyc07g043473.1
mRNA:Solyc06g043210.1.1	18473	NA	gene:Solyc06g043210.1
mRNA:Solyc06g043170.3.1	18474	NA	gene:Solyc06g043170.3
mRNA:Solyc06g043175.1.1	18475	NA	gene:Solyc06g043175.1
mRNA:Solyc06g043160.1.1	18476	NA	gene:Solyc06g043160.1
mRNA:Solyc06g043150.3.1	18477	NA	gene:Solyc06g043150.3
mRNA:Solyc06g043140.3.1	18478	NA	gene:Solyc06g043140.3
mRNA:Solyc06g043130.1.1	18479	NA	gene:Solyc06g043130.1
mRNA:Solyc06g043120.1.1	18480	NA	gene:Solyc06g043120.1
mRNA:Solyc06g043110.1.1	18481	NA	gene:Solyc06g043110.1
mRNA:Solyc06g043100.1.1	18482	NA	gene:Solyc06g043100.1
mRNA:Solyc06g043113.1.1	18483	NA	gene:Solyc06g043113.1
mRNA:Solyc06g043080.2.1	18484	NA	gene:Solyc06g043080.2
mRNA:Solyc06g043117.1.1	18485	NA	gene:Solyc06g043117.1
mRNA:Solyc06g043070.3.1	18486	NA	gene:Solyc06g043070.3
mRNA:Solyc06g043030.3.1	18487	NA	gene:Solyc06g043030.3
